不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
飞针走线,走：跑。形容缝纫技术非常熟练。
兴师动众,兴：发动；众：大队人马。旧指大规模出兵。现多指动用很多人力做某件事。
扑朔迷离,指难辨兔的雌雄。形容事情错综复杂，难以辨别清楚。
力争上游,努力奋斗，争取先进再先进。
冰肌玉骨,像冰一样的肌肤，像玉一样的骨骼。形容女子洁美的体肤
听而不闻,闻：听。听了跟没听到一样。形容不关心，不在意。
改弦易辙,琴换弦，车改道。比喻改变原来的方向、计划、办法等。
遮人耳目,玩弄手法，掩盖真相。
丝丝入扣,丝丝：每一根丝；扣：织机上的主要机件之一。织布时每条丝线都要从筘齿间穿过。比喻做得十分细致，有条不紊，一一合拍。
大题小做,把大题目作成小文章。比喻把重大的问题当做小事情来处理。
匹夫无罪,匹夫：古指平民中的男子，后泛指一般人。一般人是没有罪过的。
并日而食,并日：两天合并成一天。不能天天得食，两天三天才能得一天的粮食。形容生活穷困。
用之不竭,竭：尽。无限取用而不会使用完。
动地惊天,惊：惊动；动：震撼。使天地惊动。形容某个事件的声势或意义极大。
余霞成绮,晚霞象美丽的锦缎一样。形容晚霞色彩绚丽。南朝齐・谢眺《晚登三山还望京邑》诗：“余霞散成绮，澄江静如练。”亦作“余霞散绮”。
余音绕梁,形容歌声优美，给人留下难忘的印象。
恭贺新禧,禧：吉祥幸福。恭敬地祝贺新年幸福吉祥如意。贺年的常用语。
猝不及防,猝：突然，出其不意。事情来得突然，来不及防备。
茁壮成长,健康地成长
琴瑟之好,比喻夫妻间感情和谐。
水碧山青,碧：青绿色。形容景色很美，艳丽如画。亦作“水绿山青”。
毁家纾难,毁：破坏，毁坏；纾：缓和，解除。捐献所有家产，帮助国家减轻困难。
英雄气短,指有才能的人因沉迷于爱情而丧失进取心。
随遇而安,随：顺从；遇：遭遇。指能顺应环境，在任何境遇中都能满足。
忘年之交,年辈不相当而结交为友。
认祖归宗,①寻认祖先，并归还本宗。②喻指回归故土。
非分之想,非分：不属自己分内的。妄想得到本分以外的好处。
宛转悠扬,委宛曲折，也指声音悠扬动听。
重峦叠嶂,峦：连绵的山。山峰一个连着一个，连绵不断。
杯酒言欢,相聚饮酒，欢快地交谈。
自得其乐,自己能从中得到乐趣。
喜眉笑眼,形容面带笑容、十分高兴的样子。
人微言轻,地位低，说话不受人重视。
开路先锋,比喻进行某项工作的先遣人员。
移花接木,把一种花木的枝条或嫩芽嫁接在另一种花木上。比喻暗中用手段更换人或事物来欺骗别人。
棋高一着,一着：下棋时下一子或走一步。棋艺高人一步。也比喻技高一等。
忐忑不安,忐忑：心神不定。心神极为不安。
血流成河,形容被杀的人极多。
近在咫尺,形容距离很近。
搬弄是非,搬弄：挑拔。把别人的话传来传去，有意挑拔，或在背后乱加议论，引起纠纷。
自相矛盾,矛：进攻敌人的刺击武器；盾：保护自己的盾牌。比喻自己说话做事前后抵触。 
奄奄一息,奄奄：呼吸微弱的样子。只剩下一口气。形容临近死亡。
无所不知,什么事情都知道，没有不懂得的。
慢条斯理,原指说话做事有条有理，不慌不忙。现也形容说话做事慢腾腾，不不慌不忙。
碧空万里,万里：指面积大，距离长。形容天气晴朗。
德厚流光,德：道德，德行；厚：重；流：影响；光：通“广”。指道德高，影响便深远。
百般抚慰,用各种方式进行安慰。抚慰：安慰。
千岩万壑,形容山峦连绵，高低重迭。
死得其所,所：地方。指死得有价值，有意义。
自由自在,形容没有约束，十分安闲随意。
业精于勤,业：学业；精：精通；于：在于；勤：勤奋。学业精深是由勤奋得来的。
过从甚密,过从：交往，来往。相互往来很多，关系密切。
蒙头转向,蒙：迷糊，昏迷；转向：迷失方向。形容头脑昏迷，不清晰
天渊之别,天和地，一极在上，一极在下。比喻差别极大。
朝不保夕,早晨不能知道晚上会变成什么样子或发生什么情况。形容形势危急，难以预料。
年深月久,见“年深岁久”。
付之一炬,付：给；之：它；炬：火把。一把火给烧了。
乐而忘返,非常快乐，竟忘记回家。形容沉迷于某种场合，舍不得离开。
枯木逢春,枯干的树遇到了春天，又恢复了活力。比喻垂危的病人或事物重新获得生机。
长久之计,计：计划，策略。长远的打算。
敲诈勒索,依仗势力或抓住把柄进行恐吓，用威胁手段索取财物。
掎角之势,原指从两方面夹攻敌人。现比喻分出兵力，造成牵制敌人或互相支援的形势。
过犹不及,过：过分；犹：象；不及：达不到。事情做得过头，就跟做得不够一样，都是不合适的。
汗流夹背,同“汗流浃背”。
惊世绝俗,谓卓绝特异，使世人震动。
晓风残月,拂晓风起，残月将落。常形容冷落凄凉的意境。也指歌妓的清唱。
素昧平生,昧：不了解；平生：平素、往常。彼此一向不了解。指与某人从来不认识。
半信不信,指不完全相信。
翘足而待,踮起脚等待。比喻很快就能实现。
欲速不达,欲：想要。想求快速，反而不能达到目的。
尸位素餐,尸位：占据职位而不做事。空占着职位而不做事，白吃饭。
见死不救,看见人家有急难而不去救援。
轻歌曼舞,音乐轻快，舞姿优美。
大彻大悟,彻：明白；悟：领会。形容彻底醒悟。
赏心乐事,赏心：心情欢畅。欢畅的心情，快乐的事情。
人情世故,为人处世的道理。
风中之烛,在风里晃动的烛光。比喻随时可能死亡的老年人。也比喻随时可能消灭的事物。
大街小巷,城镇里的街道里弄，概指都市里的各处地方。
豆萁相煎,同“豆萁燃豆”。
先见之明,明・指眼力。事先看清问题的能力。指对事物发展的预见性。
细微末节,末节：小事情，小节。无关紧要的小事情，小问题。
众口一词,所有的人都说同样的话。
常胜将军,每战必胜的指挥官。
寥寥可数,寥：稀少；数：计数。形容数量很少容易数得出来
皓齿明眸,皓：白色的样子；眸：眼珠，泛指眼睛。洁白的牙齿，明亮的眼睛。形容女子容貌美丽，亦喻指美女。
天花乱坠,传说梁武帝时有个和尚讲经，感动了上天，天上纷纷落下花来。形容说话有声有色，极其动听（多指夸张而不符合实际）。
信手拈来,信手：随手；拈：用手指捏取东西。随手拿来。多指写文章时能自由纯熟的选用词语或应用典故，用不着怎么思考。
夙兴夜寐,夙：早；寐：睡。早起晚睡。形容勤劳。
罪该万死,尤死：处一万次死刑。形容罪恶极大。 
如堕烟海,堕：落。好象掉在茫茫无边的烟雾里。比喻迷失方向，找不到头绪，抓不住要领。
生花妙笔,比喻杰出的写作才能。
咬牙切齿,切齿：咬紧牙齿，表示痛恨。形容极端仇视或痛恨。也形容把某种情绪或感觉竭力抑制住。
引咎自责,咎：罪责。主动承担错误的责任并作自我批评。
逆来顺受,指对恶劣的环境或无礼的待遇采取顺从和忍受的态度。
人所共知,人人都知道。
硕果仅存,唯一留存下来的大果子。比喻由于时间的推移，留存下来仅存的人或事物。
雄心壮志,伟大的理想，宏伟的志愿。
贪小失大,因为贪图小便宜而失掉大的利益。比喻只谋求眼前的好处而不顾长远的利益。
姑妄言之,姑且随便说说，不一定有什么道理。
物阜民安,阜：丰富。物产丰富，人民安乐。
指东画西,指说话时的手势动作。比喻说话避开主题，东拉西扯。
孤臣孽子,孤臣：封建朝廷中孤立无援的远臣；孽子：妾所生的庶子。比喻遭遇艰难困苦的人。
獐头鼠目,像袋象獐子那样又小又尖，眼睛像老鼠那样又小又圆。形容人相貌丑陋，神情狡滑。
从恶如崩,指为恶如山崩那样容易
声威大震,声势和威望急速增长，使人非常震动。
视而不见,指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。
切齿痛恨,形容愤恨到极点。
蔚然成风,蔚然：草木茂盛的样子，引伸为荟萃、聚集。指一件事情逐渐发展盛行，形成一种良好风气。
不测之祸,测：估计。估计不到的灾祸，多指死亡
奉为楷模,楷：法式；模：模范。把某种事物当作榜样。
拨乱反正,乱：指乱世；反：通“返”，回复。消除混乱局面，恢复正常秩序。
投笔从戎,从戎：从军，参军。扔掉笔去参军。指文人从军。
返老还童,反：扭转；还：回复原来的状态。扭转衰老，回复童年。形容老年人恢复了青春的健康或精神
清风朗月,见“清风明月”。
心慌意乱,心里着慌，乱了主意。
捏手捏脚,形容轻手轻脚地走。也形容轻薄的举动。
老成练达,练达：指阅历多而通达人情。形容人稳重老练，通达事理。
狗苟蝇营,比喻为了名利不择手段，象苍蝇一样飞来飞去，象狗一样不知羞耻。
优哉游哉,指生活悠闲自在，从容自得。
寸步难行,形容走路困难。也比喻处境艰难。
各有所短,短：不足。各有各的不足。
摇尾乞怜,狗摇着尾巴向主人乞求爱怜。比喻装出一副可怜相向人讨好。
豕突狼奔,豕：猪；突：猛冲。象猪那样冲撞，象狼那样奔跑。形容成群的坏人乱冲乱撞，到处搔扰。
深不可测,深得无法测量。比喻对事物的情况捉摸不透。
不知世务,不知道当代的情势。
轻而易举,形容事情容易做，不费力气。
免开尊口,不必开口说什么。多表示要求不会得到同意。
举案齐眉,送饭时把托盘肖得跟眉毛一样高。后形容夫妻互相尊敬。
生生世世,指今生、来世以至永世。
天之骄子,骄子：父母溺爱骄纵的儿子。老天爷的宠儿。原指强盛的北方民族胡人，后也指为父母溺爱、放肆不受管束的儿子。
柔情蜜意,温柔甜蜜的情意。
暗无天日,形容在反动势力统治下社会的黑暗。
竭泽而渔,掏干了水塘捉鱼。比喻取之不留余地，只图眼前利益，不作长远打算。也形容反动派对人民的残酷剥削。
珠还合浦,合浦：汉代郡名，在今广西合浦县东北。比喻东西失而复得或人去而复回。
判若鸿沟,判：区别；鸿沟：古代运河，在今河南省，秦末是楚汉分界的一条河，比喻事物的界线。形容界限很清楚，区别很明显。
广种薄收,薄：少。种植的面积很大，但单位产量却很低。比喻实行的很广泛，但收效甚微。
引以为耻,以此事为自己的羞耻
满载而归,装得满满地回来。形容收获很大。
偷偷摸摸,形容瞒着别人做事，不敢让别人知道。
艺高胆大,形容大胆的手法来自高超的技艺
不甘示弱,示：显示，表现。不甘心表示自己比别人差。表示要较量一下，比个高低。
冷言冷语,带讥讽的冷冰冰的话。
一举千里,一飞就是一千里。比喻前程远大。
何必当初,表示后悔过去的作为
月里嫦娥,嫦娥：神话中月宫里的仙女，相传她是后羿的妻子，因偷吃不死之药而上了月宫。比喻风姿绰约的美女。
千夫所指,为众人所指责。形容触犯众怒。
不以为奇,并不觉得奇怪。表示这是见惯了的。
缩衣节食,省吃省穿。泛指生活节俭。
鼻息如雷,鼻息：鼾声。打呼噜的声音就象打雷一样响。形容熟睡时鼾声大作。
明火执仗,明：点明；执：拿着；仗：兵器。点着火把，拿着武器。形容公开抢劫或肆无忌惮地干坏事
穷途末路,形容到了无路可走的地步。
晴天霹雳,晴天打响雷。比喻突然发生意外的令人震惊的事件。
先知先觉,知：认识；觉：觉悟。指认识事理较一般人为早的人。
明争暗斗,明里暗里都在进行争斗。形容各用心思，互相排挤。
两相情愿,两方面都愿意。
公平交易,公平合理的买卖
肥头大耳,一个肥胖的脑袋，两只大耳朵。形容体态肥胖，有时指小孩可爱。
目不斜视,眼睛不往旁边看。形容目光庄重，神情严肃
宝刀不老,比喻虽然年龄已大或脱离本行已久，但功夫技术并没减退。
抱头鼠窜,抱着头，象老鼠那样惊慌逃跑。形容受到打击后狼狈逃跑。
谨小慎微,过分小心谨慎，缩手缩脚，不敢放手去做。
光彩夺目,夺目：耀眼。形容鲜艳耀眼。也用来形容某些艺术作品和艺术形象的极高成就。
以柔克刚,用柔软的去克制刚强的。
坐观成败,冷眼旁观人家的成功或失败。
兄友弟恭,哥哥对弟弟友爱，弟弟对哥哥恭敬。形容兄弟间互爱互敬。
发凡起例,发凡：提示全书的通例。指说明全书要旨，拟定编写体例。
临别赠言,分别时赠送勉励的话或忠告
搓手顿足,形容焦急不安的样子
每况愈下,表示情况越来越坏
眼花缭乱,缭乱：纷乱。看着复杂纷繁的东西而感到迷乱。也比喻事物复杂，无法辨清。
一来二去,指一回又一回，经过一段时间。表示逐渐的意思。
桂子飘香,指中秋前后桂花开放，散发馨香。
重足而立,迭足而立，不敢迈步。形容恐惧。
昂头阔步,昂：仰，高抬。抬起头迈开大步向前。形容精神备发或态度傲慢。参见“
逞性妄为,由着性子胡来。也指坏人任意干坏事。
徇私舞弊,徇：曲从；舞：舞弄，耍花样。为了私人关系而用欺骗的方法做违法乱纪的事。
龙精虎猛,喻精力旺盛，斗志昂扬。
厉行节约,严格地实行节约。
四面楚歌,比喻陷入四面受敌、孤立无援的境地。 
自寻烦恼,自己找来不必要的烦恼
款款而谈,款：诚恳。诚恳而从容的谈话。
一气呵成,一口气做成。形容文章结构紧凑，文气连贯。也比喻做一件事安排紧凑，迅速不间断地完成。
相生相克,见“相生相克”。
暴跳如雷,急怒叫跳，象打雷一样猛烈。形容又急又怒，大发脾气的样子。
肘腋之患,肘腋：胳膊肘和夹肢窝，比喻极近的地方。产生于身边的祸患。
多如牛毛,象牛身上的的毛那样多。形容极多。
疏财仗义,讲义气，轻视钱财。多指出钱帮助人，扶危济困。
自以为是,是：对。总以为自己是对的。形容主观，不虚心。
含辛茹苦,辛：辣；茹：吃。形容忍受辛苦或吃尽辛苦。
贫贱之交,贫困时结交的知心朋友。
与世长辞,辞：告别。和人世永别了。指去世。
寒来暑往,盛夏已过，寒冬将至。泛指时光流逝。
阿谀谄媚,阿谀：迎合别人的意思，向人讨好；谄媚：巴结，奉承。说话做事迎合别人的心意，竭力向人讨好。
妄自菲薄,妄：胡乱的；菲薄：小看，轻视。过分看轻自己。形容自卑。
除旧更新,清除旧的，建立新的。以新的代替旧的。
狼狈不堪,困顿、窘迫得不能忍受。形容非常窘迫的样子。
泼水难收,相传汉朱买臣因家贫，其妻离去，后买臣富贵，妻又求合。买臣取水泼洒于地，令妻收回，以示夫妻既已离异就不能再合。后用以比喻不可挽回的局面。
真情实意,真实的情意。
土木形骸,形骸：指人的形体。形体象土木一样。比喻人的本来面目，不加修饰。
妻离子散,一家子被迫分离四散。
循环往复,周而复始，去而复来。指反复进行，没有止息。
声泪俱下,一边说一边哭。形容极其悲恸。
轻如鸿毛,鸿毛：大雁的毛。比大雁的毛还要轻。比喻非常轻微或毫无价值。
真情实感,真挚的感情，实在的感受。
年轻力壮,壮：健壮。年纪轻，体力强。
肺腑之言,肺腑：指内心。出于内心的真诚的话。
娇声娇气,形容说话娇滴滴的声气
无动于中,心里一点儿也没有触动。指对应该关心、注意的事情毫不关心，置之不理。
虎头蛇尾,头大如虎，尾细如蛇。比喻开始时声势很大，到后来劲头很小，有始无终。
斩钉截铁,形容说话或行动坚决果断，毫不犹豫。
捏一把汗,因担心而手上出汗。形容非常紧张的心情。
拔山扛鼎,扛：双手举起。拔起大山，举起重鼎。形容力气很大。
人人自危,每个人都感到自己不安全，有危险。
心如止水,形容心境平静，毫无杂念
相形见拙,见“相形见绌”。
吉日良辰,吉：吉利；良：好；辰：时日。美好的时辰，吉利的日子。后常用以称宜于成亲的日子。
出乎意料,指出人意料
急公好义,热心公益，见义勇为。
物换星移,物换：景物变幻；星移：星辰移位。景物改变了，星辰的位置也移动了。比喻时间的变化。
一曝十寒,曝：晒。原意是说，虽然是最容易生长的植物，晒一天，冻十天，也不可能生长。比喻学习或工作一时勤奋，一时又懒散，没有恒心。
叠床架屋,床上搁床，屋上架屋。比喻重复、累赘；也比喻反复强调
坑蒙拐骗,指以欺骗手段捞取钱财，陷害他人
赤手空拳,赤手：空手。两手空空。比喻没有任何依靠。
食而不化,吃了没有消化。比喻对所学知识理解得不深不透，没有吸收成为自己的东西。
千篇一律,一千篇文章都一个样。指文章公式化。也比喻办事按一个格式，非常机械。
经验之谈,言谈有实践作为根据、切实、可靠
呆头呆脑,呆：呆板，不灵活。形容思想、行动迟钝笨拙。
侠肝义胆,侠客的肝，义士的胆。形容见义勇为、锄强扶弱、打抱不平的心肠和行动。
百口莫辩,莫：不能；辩：辩白。即使有一百张嘴也辩白不清。形容不管怎样辩白也说不清楚。
例行公事,按照惯例办理的公事。现在多指刻板的形式主义的工作。
为仁不富,要仁爱就不能发财致富。参见“为富不仁”。
昏昏欲睡,昏昏沉沉，只想睡觉。形容极其疲劳或精神不振。
开门见山,比喻说话或写文章直截了当谈本题，不拐弯抹角。
争风吃醋,争：�，争夺；风：风韵，多指女子。指因男女关系而妒忌、争吵。
闷闷不乐,闷闷：心情不舒畅，心烦。形容心事放不下，心里不快活。
纲举目张,纲：鱼网上的总绳；举：提起。把大绳子一提起来，一个个网眼就都张开。比喻抓住事物的关键，带动其他环节。也比喻文章条理分明。
古色古香,形容器物书画等富有古雅的色彩和情调。
老马识途,老马认识路。比喻有经验的人对事情比较熟悉。
将功折罪,拿功劳补偿过失。
癣疥之疾,比喻无关紧要的小问题和小毛病。
龇牙咧嘴,龇：露齿。张着嘴巴，露出牙齿。形容凶狠或疼痛难忍的样子。
行之有效,之：代词，它，指办法、措施等；效：成效，效果。实行起来有成效。指某种方法或措施已经实行过，证明很有效用。
恩威并重,安抚和强制同时施行。
宗庙社稷,宗庙：祭祀祖先的场所；社稷：古代帝王诸侯所祭的土神和谷神。代表封建统治者掌握的最高权力。也借指国家。
人生如梦,人生就好象一场梦。比喻世事无定，生命短促。亦作“人生若梦”。
天人之际,天道与人事相互之间的关系。
居高临下,占据高处，俯视下面。形容占据的地势非常有利。
达官显宦,达：显贵；宦：官。旧指职位高而声势显赫的官员。
攻守同盟,原指国与国之间订立盟约，战时彼此联合进攻或防卫。现多指坏人互相订约，为掩盖罪恶而一致行动。
聚沙成塔,把细沙堆积成宝塔。比喻积少成多
傲雪凌霜,形容不畏霜雪严寒，外界条件越艰苦越有精神。比喻经过长期磨练，面对冷酷迫害或打击毫不示弱、无所畏惧。傲，傲慢、蔑视。
不远千里,不以千里为远。形容不怕路途遥远。
千古绝唱,指从来少有的绝妙佳作。
为民除害,替百姓除祸害。
巴山夜雨,指客居异地又逢夜雨缠绵的孤寂情景。
乔装打扮,乔装：改变服装、面貌；打扮：指化装。指进行伪装，隐藏身份。
称心满意,称心如意
风景不殊,指悲叹国土破碎或沦亡
幸灾乐祸,幸：高兴。指人缺乏善意，在别人遇到灾祸时感到高兴。
喜怒哀乐,喜欢、恼怒、悲哀、快乐。泛指人的各种不同的感情。
崇论闳议,崇：高；闳：宏大。指高明卓越的议论。
弥天大谎,弥天：满天。形容天大的谎话。
下回分解,章回小说于每回之末所用的套语。现多用以喻事件发展的结果。
变幻莫测,幻：变化；变幻：不规则地改变；测：捉摸；莫测：无法推测。变化又多又快，使人不可捉摸
悔之晚矣,矣：了。后悔已经晚了
祸国殃民,祸：祸害；殃：灾难。指危害国家，残害百姓
尽善尽美,极其完善，极其美好。指完美到没有一点缺点。
颐指气使,颐指：动下巴示意，指挥别人；气使：用神情气色支使人。不说话而用面部表示表情示意。形容有权势的人指挥别人的傲慢态度。
急于求成,不顾一切地想马上取得成效。
目不窥园,形容专心致志，埋头苦读。
妙手回春,指医生医术高明。
鱼龙混杂,比喻坏人和好人混在一起。
默不作声,一句话也不说
防意如城,意：心思，指私欲。指严格遏止私心杂念，象守城防敌一样。
自言自语,言、语：说话。自己跟自己低声嘀咕。
果不其然,果然如此。指事物的发展变化跟预料的一样。
不了了之,了：了结，结束。用不了结的办法去了结。指把事情放在一边不管，就算完事。
饮食男女,泛指人的本性。
木已成舟,树木已经做成了船。比喻事情已成定局，无法改变。
悬梁刺骨,形容刻苦学习。
急流勇进,在急流中要勇于前进。形容在险境中积极进取，不退缩。
官运亨通,官运：官场中的运气。亨通：顺利。指仕途顺利，步步高升。
天伦之乐,天伦：旧指父子、兄弟等亲属关系。泛指家庭的乐趣。
生死与共,同生共死，相依为命。形容情谊极深重。
避其锐气,其：他的；锐气：勇猛的气势。避开敌人的旺盛气势，等敌人疲惫松懈时再狠狠打击 
惊涛骇浪,汹涌吓人的浪涛。比喻险恶的环境或尖锐激烈的斗争。
星移斗转,斗：北斗星。星斗变动位置。指季节或时间的变化。
耳目众多,耳目：指为别人打探消息的人。周围注意的人很多。也指为刺探情报的人很多。
心惊肉跳,形容担心灾祸临头，恐慌不安。
百年树人,树：种植，栽培。比喻培养人才是长期而艰巨的事。
百战百胜,每战必胜。形容所向无敌。
锋芒毕露,锋：刀锋；芒：枪头，矛尖。毕：都，完全，全部；露：暴露。形容人锐气才华全都显露出来。也比喻人爱逞强显能，好表现自己
自找麻烦,自己给自己找麻烦事。
市井小人,指城市中庸俗鄙陋之人。
月黑风高,比喻没有月光风也很大的夜晚。比喻险恶的环境。
扪心无愧,扪：摸；愧：惭愧。摸着胸口自问，毫无惭愧之处。
玉石不分,比喻好坏不分。
不敢造次,造次：仓促、鲁莽轻率。指不敢匆忙地或鲁莽草率从事
闭门思过,过：过失。关起门来反省。
奥妙无穷,奥：深奥。指其中不易为人所知而奇妙有趣之处极多。
古道热肠,指待人真诚、热情。
直截了当,形容说话做事爽快、干脆。
一日三秋,三秋：三个季度。意思是一天不见面，就象过了三个季度。比喻分别时间虽短，却觉得很长。形容思念殷切。
辗转反侧,辗转：翻来复去；反侧：反复。翻来复去，睡不着觉。形容心里有所思念或心事重重。
摇鹅毛扇,传说诸葛亮常手执羽扇指挥作战，后世舞台上出现的一些军师也多执羽扇。因以“摇鹅毛扇”比喻出谋画策。
金声玉振,以钟发声，以磬收韵，奏乐从始至终。比喻音韵响亮、和谐。也比喻人的知识渊博，才学精到。
结驷连骑,随从、车马众多。形容排场阔绰。
三妻四妾,妻妾众多的意思。
稀里糊涂,不明白，迷糊，不认真，随意 
昂首阔步,昂：仰，高抬。抬起头迈开大步向前。形容精神抖擞，意气风发。
劫富济贫,劫：强取；济：救济。夺取富人的财产，救济穷人。
养痈贻患,痈：毒疮；患：祸害。留着毒疮不去医治，就会成为后患。比喻纵容姑息坏人坏事，结果自己遭殃。
漠不关心,漠：冷淡。态度冷淡，毫不关心。
众口难调,原意是各人的口味不同，很难做出一种饭菜使所有的人都感到好吃。比喻做事很难让所有的人都满意。
虎视眈眈,眈眈：注视的样子。象老虎那样凶狠地盯着。形容心怀不善，伺机攫取。
博学洽闻,博学：广博。学问广博，见识丰富。
等因奉此,比喻例行公事，官样文章。也常用来讽刺只知道按章办事而不能联系实际的工作作风。
二分明月,古人认为天下明月共三分，扬州独占二分。原用于形容扬州繁华昌盛的景象。今用以比喻当地的月色格外明朗。
偷梁换柱,比喻暗中玩弄手法，以假代真，以劣代优。
一世龙门,一世：一代；龙门：后汉时李膺有重名，后起的文人有登门拜访的，称之登龙门。称文人所崇仰的人物。
一丘之貉,丘：土山；貉：一种形似狐狸的野兽。一个土山里的貉。比喻彼此同是丑类，没有什么差别。
进退有度,谓前进后退动作均合法度。
飞蛾扑火,飞蛾扑到火上，比喻自取灭亡
欺人太甚,欺负人太过分了，令人不能容忍。
专心致志,致：尽，极；志：意志。把心思全放在上面。形容一心一意，聚精会神。
耳闻目睹,闻：听见；睹：看见。亲耳听到，亲眼看见。
另起炉灶,另外重支炉灶。比喻放弃原来的，另外从头做起。
不可理喻,喻：开导，晓喻。没法跟他讲道理。形容蛮横或固执。
水中捞月,到水中去捞月亮。比喻去做根本做不到的事情，只能白费力气。
罕言寡语,罕、寡：少。很少开口说话。形容沉默寡言。
寝食不安,睡不好觉，吃不好饭。十分忧虑担心的样子。
卑宫菲食,指宫室简陋，饮食菲薄。旧时用以称美朝廷自奉节俭的功德。
粉饰太平,粉饰：涂饰表面。把社会黑暗混乱的状况掩饰成太平的景象。
其势汹汹,汹汹：形容水声大，引伸为声势大。形容来势凶猛。
路无拾遗,见“路不拾遗”。
言出法随,言：这里指法令或命令；法：法律。话一说出口，法律就跟在后面。指法令一经公布就严格执行，如有违犯就依法处理。
鹑衣百结,鹑衣：比喻破烂衣服；百结：补丁叠补丁的衣服。形容衣服破烂不堪
群威群胆,威：力量；胆：胆识。集中群众的力量和胆识。形容大家团结一致英勇战斗时表现出来的力量和勇敢精神。
安土重迁,土：乡土；重：看得重，不轻易。安于本乡本土，不愿轻易迁移。
不足为虑,足：值得；虑：忧。不值得忧虑担心
家徒四壁,家里只有四面的墙壁。形容十分贫困，一无所有。
馋涎欲滴,涎：口水。馋得口水都要滴下来了。形容极其贪馋的样子。也形容非常眼红。
赍志而殁,赍：怀抱着，带着；殁：死。指怀抱着未遂的志愿而死去
别创一格,指开创一种新的风格或形式。
